filepath_stem,audio_path,title,mbid,raga,taal,form,length_ms,metadata_source,concert_folder,midi_path
Dr S Sundar at Arkay by S Sundar/Jaya Jaya Padmanabhanujese/Jaya Jaya Padmanabhanujese,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Dr S Sundar at Arkay by S Sundar/Jaya Jaya Padmanabhanujese/Jaya Jaya Padmanabhanujese.mp3.mp3,Jaya Jaya Padmanabhanujese,d8d77082-e2f5-42bf-8598-771293a45782,manirangu,adi,Kriti,368000.0,json,Dr S Sundar at Arkay by S Sundar,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_010_manirangu.mid
Dr S Sundar at Arkay by S Sundar/Kannanai Paadu Maname/Kannanai Paadu Maname,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Dr S Sundar at Arkay by S Sundar/Kannanai Paadu Maname/Kannanai Paadu Maname.mp3.mp3,Kannanai Paadu Maname,5aed17d9-6868-4420-803a-edc882c90be2,kalyani,adi,Kriti,372000.0,json,Dr S Sundar at Arkay by S Sundar,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_011_kalyani.mid
Dr S Sundar at Arkay by S Sundar/Enadhu Manam Kavalai/Enadhu Manam Kavalai,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Dr S Sundar at Arkay by S Sundar/Enadhu Manam Kavalai/Enadhu Manam Kavalai.mp3.mp3,Enadhu Manam Kavalai,69dba0e8-8a49-4084-a58b-18101239df69,harikambhoji,adi,Kriti,394000.0,json,Dr S Sundar at Arkay by S Sundar,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_012_harikambhoji.mid
Dr S Sundar at Arkay by S Sundar/Paahi Maam Sri/Paahi Maam Sri,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Dr S Sundar at Arkay by S Sundar/Paahi Maam Sri/Paahi Maam Sri.mp3.mp3,Paahi Maam Sri,da8d9f8b-3686-45c0-a19a-4775fc5f86e4,janaranjani,adi,Kriti,794000.0,json,Dr S Sundar at Arkay by S Sundar,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_013_janaranjani.mid
Dr S Sundar at Arkay by S Sundar/Geetha Vaadya Natana/Geetha Vaadya Natana,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Dr S Sundar at Arkay by S Sundar/Geetha Vaadya Natana/Geetha Vaadya Natana.mp3.mp3,Geetha Vaadya Natana,cec6de46-c717-45b3-826f-58de5b935497,natakapriya,adi,Kriti,2961000.0,json,Dr S Sundar at Arkay by S Sundar,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_014_natakapriya.mid
Dr S Sundar at Arkay by S Sundar/Vanajaksha Ninne Nammiti/Vanajaksha Ninne Nammiti,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Dr S Sundar at Arkay by S Sundar/Vanajaksha Ninne Nammiti/Vanajaksha Ninne Nammiti.mp3.mp3,Vanajaksha Ninne Nammiti,01b346c5-2f9e-4087-b56b-893e5688b43a,behag,adi,Varnam - Tana Varnam,339000.0,json,Dr S Sundar at Arkay by S Sundar,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_015_behag.mid
KP Nandini at Arkay by KP Nandini/Seethamma/Seethamma,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/KP Nandini at Arkay by KP Nandini/Seethamma/Seethamma.mp3.mp3,Seethamma,559b19c7-2d30-47db-8aab-6e4448d867fb,vasanta,rupaka,Kriti,299000.0,json,KP Nandini at Arkay by KP Nandini,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_016_vasanta.mid
KP Nandini at Arkay by KP Nandini/Tillana/Tillana,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/KP Nandini at Arkay by KP Nandini/Tillana/Tillana.mp3.mp3,Tillana,b9c17795-0dac-436e-b010-dfd8d0685e1d,Tillana,adi,Thillana,249000.0,title_fallback,KP Nandini at Arkay by KP Nandini,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_017_Tillana.mid
KP Nandini at Arkay by KP Nandini/Nadatanum Anisham/Nadatanum Anisham,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/KP Nandini at Arkay by KP Nandini/Nadatanum Anisham/Nadatanum Anisham.mp3.mp3,Nadatanum Anisham,d872ffdd-b4c4-40df-be2a-e257a34d56f0,chittaranjani,adi,Kriti,253000.0,json,KP Nandini at Arkay by KP Nandini,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_018_chittaranjani.mid
Kanakadurga Venkatesh at Arkay by Kanakadurga Venkatesh/Rama Neepai/Rama Neepai,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Kanakadurga Venkatesh at Arkay by Kanakadurga Venkatesh/Rama Neepai/Rama Neepai.mp3.mp3,Rama Neepai,c7384926-2948-4edd-8c0b-9d0cda58e6d4,kedaram,adi,Kriti,773355.0,json,Kanakadurga Venkatesh at Arkay by Kanakadurga Venkatesh,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_019_kedaram.mid
Kanakadurga Venkatesh at Arkay by Kanakadurga Venkatesh/Etulabrotuva/Etulabrotuva,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Kanakadurga Venkatesh at Arkay by Kanakadurga Venkatesh/Etulabrotuva/Etulabrotuva.mp3.mp3,Etulabrotuva,a77ee2cb-7773-4401-bef0-f8fe20f6bb91,chakravakam,mishra chapu,Kriti,640940.0,json,Kanakadurga Venkatesh at Arkay by Kanakadurga Venkatesh,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_020_chakravakam.mid
Kanakadurga Venkatesh at Arkay by Kanakadurga Venkatesh/Neevada Negana/Neevada Negana,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Kanakadurga Venkatesh at Arkay by Kanakadurga Venkatesh/Neevada Negana/Neevada Negana.mp3.mp3,Neevada Negana,ca0a3572-64ab-48be-93a9-b6d05cd86285,saranga,khanda chapu,Kriti,356728.0,json,Kanakadurga Venkatesh at Arkay by Kanakadurga Venkatesh,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_021_saranga.mid
Kuldeep Pai at Arkay by Kuldeep Pai/Arul Seya Vendum Ayya/Arul Seya Vendum Ayya,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Kuldeep Pai at Arkay by Kuldeep Pai/Arul Seya Vendum Ayya/Arul Seya Vendum Ayya.mp3.mp3,Arul Seya Vendum Ayya,79d502f1-2fbb-4c5e-bf2c-8eb2a452730c,rasikapriya,adi,Kriti,1589890.0,json,Kuldeep Pai at Arkay by Kuldeep Pai,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_022_rasikapriya.mid
Kuldeep Pai at Arkay by Kuldeep Pai/Thappi Bratikipova/Thappi Bratikipova,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Kuldeep Pai at Arkay by Kuldeep Pai/Thappi Bratikipova/Thappi Bratikipova.mp3.mp3,Thappi Bratikipova,d04c37a2-732d-4484-ad4f-a5aa76237940,thodi,rupaka,Kriti,2235846.0,json,Kuldeep Pai at Arkay by Kuldeep Pai,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_023_thodi.mid
Kuldeep Pai at Arkay by Kuldeep Pai/Gange Maam Pahi/Gange Maam Pahi,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Kuldeep Pai at Arkay by Kuldeep Pai/Gange Maam Pahi/Gange Maam Pahi.mp3.mp3,Gange Maam Pahi,bac323dc-28a5-4ac9-8133-a3696c0f7442,Gange Maam Pahi,khanda-jaati eka,Kriti,248868.0,title_fallback,Kuldeep Pai at Arkay by Kuldeep Pai,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_024_Gange_Maam_Pahi.mid
Mahati at Arkay by Mahati/Sharanagatha Vatsale/Sharanagatha Vatsale,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Mahati at Arkay by Mahati/Sharanagatha Vatsale/Sharanagatha Vatsale.mp3.mp3,Sharanagatha Vatsale,cdfc4999-dcc0-4a7c-984f-0b3a4d1a482b,kadanakutuhulam,adi,Varnam - Tana Varnam,252000.0,json,Mahati at Arkay by Mahati,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_025_kadanakutuhulam.mid
Mahati at Arkay by Mahati/Gopi Gopala Bala/Gopi Gopala Bala,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Mahati at Arkay by Mahati/Gopi Gopala Bala/Gopi Gopala Bala.mp3.mp3,Gopi Gopala Bala,76352d49-dcfa-499d-a12d-95e9e4e5d22a,Gopi Gopala Bala,adi,Bhajan,478000.0,title_fallback,Mahati at Arkay by Mahati,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_026_Gopi_Gopala_Bala.mid
Mahati at Arkay by Mahati/Vandu Ketpaar Illayo/Vandu Ketpaar Illayo,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Mahati at Arkay by Mahati/Vandu Ketpaar Illayo/Vandu Ketpaar Illayo.mp3.mp3,Vandu Ketpaar Illayo,db598906-31ae-4e01-95eb-b90090abc2c1,ragamalika,adi,Kriti,422000.0,json,Mahati at Arkay by Mahati,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_027_ragamalika.mid
Mahati at Arkay by Mahati/Chinnanchiru Kiliye/Chinnanchiru Kiliye,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Mahati at Arkay by Mahati/Chinnanchiru Kiliye/Chinnanchiru Kiliye.mp3.mp3,Chinnanchiru Kiliye,8b026b2c-f627-4689-b4c9-7e1c14c2ca02,ragamalika,adi,Kriti,316000.0,json,Mahati at Arkay by Mahati,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_028_ragamalika.mid
Manda Sudharani at Arkay by Manda Sudharani/Budham Aashrayami/Budham Aashrayami,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Manda Sudharani at Arkay by Manda Sudharani/Budham Aashrayami/Budham Aashrayami.mp3.mp3,Budham Aashrayami,d39c2a78-87ef-4adf-b755-d7b630ae35d8,Budham Aashrayami,,,1141000.0,title_fallback,Manda Sudharani at Arkay by Manda Sudharani,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_029_Budham_Aashrayami.mid
Manda Sudharani at Arkay by Manda Sudharani/Sami Dayajuda/Sami Dayajuda,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Manda Sudharani at Arkay by Manda Sudharani/Sami Dayajuda/Sami Dayajuda.mp3.mp3,Sami Dayajuda,68872a04-9f44-489c-806e-a1e8f6b659b5,Sami Dayajuda,,,447000.0,title_fallback,Manda Sudharani at Arkay by Manda Sudharani,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_030_Sami_Dayajuda.mid
Manda Sudharani at Arkay by Manda Sudharani/RTP Andholika/RTP Andholika,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Manda Sudharani at Arkay by Manda Sudharani/RTP Andholika/RTP Andholika.mp3.mp3,RTP Andholika,4bbd5827-8a18-43f9-a332-b4978098f58b,RTP Andholika,,,2333000.0,title_fallback,Manda Sudharani at Arkay by Manda Sudharani,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_031_RTP_Andholika.mid
Manda Sudharani at Arkay by Manda Sudharani/Sarasamukhi Sakala/Sarasamukhi Sakala,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Manda Sudharani at Arkay by Manda Sudharani/Sarasamukhi Sakala/Sarasamukhi Sakala.mp3.mp3,Sarasamukhi Sakala,5d76bc05-99b0-4e2f-9907-af7e8b037e51,Sarasamukhi Sakala,,,267000.0,title_fallback,Manda Sudharani at Arkay by Manda Sudharani,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_032_Sarasamukhi_Sakala.mid
Modhumudi Sudhakar at Arkay by Modhumudi Sudhakar/Mangalam Avanisutanatha/Mangalam Avanisutanatha,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Modhumudi Sudhakar at Arkay by Modhumudi Sudhakar/Mangalam Avanisutanatha/Mangalam Avanisutanatha.mp3.mp3,Mangalam Avanisutanatha,bffde9df-d79d-4b9c-8276-08d5ca39daf7,nadanamakriya,adi,Mangalam,123088.0,json,Modhumudi Sudhakar at Arkay by Modhumudi Sudhakar,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_033_nadanamakriya.mid
Modhumudi Sudhakar at Arkay by Modhumudi Sudhakar/Rama Namam Bhajare/Rama Namam Bhajare,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Modhumudi Sudhakar at Arkay by Modhumudi Sudhakar/Rama Namam Bhajare/Rama Namam Bhajare.mp3.mp3,Rama Namam Bhajare,9962fa86-1060-4f9d-93d2-128ac958c2b8,madyamavati,adi,Kriti,208561.0,json,Modhumudi Sudhakar at Arkay by Modhumudi Sudhakar,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_034_madyamavati.mid
Modhumudi Sudhakar at Arkay by Modhumudi Sudhakar/Ghandhamu Poyyaruga/Ghandhamu Poyyaruga,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Modhumudi Sudhakar at Arkay by Modhumudi Sudhakar/Ghandhamu Poyyaruga/Ghandhamu Poyyaruga.mp3.mp3,Ghandhamu Poyyaruga,1b8541ce-0fd5-4c26-97a3-1996db9effbe,punnaga varali,adi,Kriti,231993.0,json,Modhumudi Sudhakar at Arkay by Modhumudi Sudhakar,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_035_punnaga_varali.mid
Modhumudi Sudhakar at Arkay by Modhumudi Sudhakar/Shobillu Saptasvara/Shobillu Saptasvara,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Modhumudi Sudhakar at Arkay by Modhumudi Sudhakar/Shobillu Saptasvara/Shobillu Saptasvara.mp3.mp3,Shobillu Saptasvara,a8c9b0e3-3656-42da-9527-04dc19b65dc7,jaganmohini,rupaka,Kriti,717426.0,json,Modhumudi Sudhakar at Arkay by Modhumudi Sudhakar,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_036_jaganmohini.mid
Modhumudi Sudhakar at Arkay by Modhumudi Sudhakar/Paraloka Bhaya/Paraloka Bhaya,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Modhumudi Sudhakar at Arkay by Modhumudi Sudhakar/Paraloka Bhaya/Paraloka Bhaya.mp3.mp3,Paraloka Bhaya,228802ab-0055-47bf-bc3e-ecdb91fd889c,mandhari,adi,Kriti,471849.0,json,Modhumudi Sudhakar at Arkay by Modhumudi Sudhakar,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_037_mandhari.mid
Modhumudi Sudhakar at Arkay by Modhumudi Sudhakar/Eramuni/Eramuni,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Modhumudi Sudhakar at Arkay by Modhumudi Sudhakar/Eramuni/Eramuni.mp3.mp3,Eramuni,5d1b5366-0469-438e-8ca1-dbd808d0bf28,vakulabharanam,mishra chapu,Kriti,1325714.0,json,Modhumudi Sudhakar at Arkay by Modhumudi Sudhakar,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_038_vakulabharanam.mid
N J Nandini in Arkay by N J Nandini/Dharini Telusukonti/Dharini Telusukonti,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/N J Nandini in Arkay by N J Nandini/Dharini Telusukonti/Dharini Telusukonti.mp3.mp3,Dharini Telusukonti,0bfae434-97db-4693-a704-e449f78b960b,Dharini Telusukonti,,,2015000.0,title_fallback,N J Nandini in Arkay by N J Nandini,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_039_Dharini_Telusukonti.mid
N J Nandini in Arkay by N J Nandini/Karuna Ela Gante/Karuna Ela Gante,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/N J Nandini in Arkay by N J Nandini/Karuna Ela Gante/Karuna Ela Gante.mp3.mp3,Karuna Ela Gante,39852cb4-a1e3-4d34-b0b9-025ac497a6c4,Karuna Ela Gante,,,938000.0,title_fallback,N J Nandini in Arkay by N J Nandini,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_040_Karuna_Ela_Gante.mid
Prema Rangarajan at Arkay by Prema Rangarajan/Gam Ganapate/Gam Ganapate,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Prema Rangarajan at Arkay by Prema Rangarajan/Gam Ganapate/Gam Ganapate.mp3.mp3,Gam Ganapate,55362c3e-2224-4555-9aa7-4790e5c8f22d,Gam Ganapate,,,447000.0,title_fallback,Prema Rangarajan at Arkay by Prema Rangarajan,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_041_Gam_Ganapate.mid
Prema Rangarajan at Arkay by Prema Rangarajan/Kailasapathe/Kailasapathe,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Prema Rangarajan at Arkay by Prema Rangarajan/Kailasapathe/Kailasapathe.mp3.mp3,Kailasapathe,8765ef72-19c8-4d44-a45f-e09632ab50e7,Kailasapathe,,,2689000.0,title_fallback,Prema Rangarajan at Arkay by Prema Rangarajan,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_042_Kailasapathe.mid
Prema Rangarajan at Arkay by Prema Rangarajan/Lalitha Lavanga/Lalitha Lavanga,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Prema Rangarajan at Arkay by Prema Rangarajan/Lalitha Lavanga/Lalitha Lavanga.mp3.mp3,Lalitha Lavanga,3675f69b-7cb7-4aa3-ba08-b298c4ac568f,Lalitha Lavanga,,,320000.0,title_fallback,Prema Rangarajan at Arkay by Prema Rangarajan,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_043_Lalitha_Lavanga.mid
Prema Rangarajan at Arkay by Prema Rangarajan/Tolinenu Jesina/Tolinenu Jesina,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Prema Rangarajan at Arkay by Prema Rangarajan/Tolinenu Jesina/Tolinenu Jesina.mp3.mp3,Tolinenu Jesina,af5b132a-23a1-4e2a-a844-fa9492b7ee94,Tolinenu Jesina,,,259000.0,title_fallback,Prema Rangarajan at Arkay by Prema Rangarajan,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_044_Tolinenu_Jesina.mid
Salem Gayatri Venkatesan at Arkay by Salem Gayatri Venkatesan/Neene Ballideno/Neene Ballideno,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Salem Gayatri Venkatesan at Arkay by Salem Gayatri Venkatesan/Neene Ballideno/Neene Ballideno.mp3.mp3,Neene Ballideno,8bd27a81-b630-4aad-88cf-699d54126e57,Neene Ballideno,,,805000.0,title_fallback,Salem Gayatri Venkatesan at Arkay by Salem Gayatri Venkatesan,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_045_Neene_Ballideno.mid
