filepath_stem,audio_path,json_exists,title,mbid,raga,taal,form,length_ms,metadata_source,midi_path
Raag Abhogi & Megh by Anol Chatterjee/Raag Megh/Raag Megh,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Raag Abhogi & Megh by Anol Chatterjee/Raag Megh/Raag Megh.mp3.mp3,True,Raag Megh,a1543855-9f8c-42e5-945a-5fea2727df1c,Megh,Ektaal,Khayal,1766922,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_019_Megh.mid
"Raag Malkauns, Chandrakauns & Majh Khamaj Thumri by Satyasheel Deshpande/Raag Chandrakauns/Raag Chandrakauns","/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Raag Malkauns, Chandrakauns & Majh Khamaj Thumri by Satyasheel Deshpande/Raag Chandrakauns/Raag Chandrakauns.mp3.mp3",True,Raag Chandrakauns,49747cb6-7edc-43aa-bf15-44a6043f6472,Chandrakauns,Teentaal,Khayal,238984,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_020_Chandrakauns.mid
Anaahata by Milind Malshe/Raag Khokar/Raag Khokar,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Anaahata by Milind Malshe/Raag Khokar/Raag Khokar.mp3.mp3,True,Raag Khokar,da0c6431-10b5-44b9-8ba4-57023fd45914,Khokar,,,824868,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_021_Khokar.mid
Hindustani Alaps by Kaustuv Kanti Ganguli/Raag Madhukauns/Raag Madhukauns,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Hindustani Alaps by Kaustuv Kanti Ganguli/Raag Madhukauns/Raag Madhukauns.mp3.mp3,True,Raag Madhukauns,89224046-f086-4530-b2a3-70f9ae697faf,Madhukauns,,Khayal,565373,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_022_Madhukauns.mid
Anaahata by Milind Malshe/Raag Jogiya/Raag Jogiya,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Anaahata by Milind Malshe/Raag Jogiya/Raag Jogiya.mp3.mp3,True,Raag Jogiya,0f84aacf-9703-46ab-b5cd-2f8c6bd82b29,Jogia,,,416888,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_023_Jogia.mid
Raag Bihag & Bhairavi Dadra by Omkar Dadarkar/Bhairavi Dadra/Bhairavi Dadra,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Raag Bihag & Bhairavi Dadra by Omkar Dadarkar/Bhairavi Dadra/Bhairavi Dadra.mp3.mp3,True,Bhairavi Dadra,f5d00c2d-5ca1-4a49-bb38-1af3496e6dfc,Bhairabi,Dadra,Dadra,601547,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_024_Bhairabi.mid
Anaahata by Milind Malshe/Raag Nat Kamod/Raag Nat Kamod,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Anaahata by Milind Malshe/Raag Nat Kamod/Raag Nat Kamod.mp3.mp3,True,Raag Nat Kamod,15906c20-4376-46a0-a0d5-7093216f4534,Nat Kamod,,,546586,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_025_Nat_Kamod.mid
"Raag Shree, Lalit Pancham & Bhairavi Thumri by Kaustuv Kanti Ganguli/Raag Lalit Pancham/Raag Lalit Pancham","/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Raag Shree, Lalit Pancham & Bhairavi Thumri by Kaustuv Kanti Ganguli/Raag Lalit Pancham/Raag Lalit Pancham.mp3.mp3",True,Raag Lalit Pancham,c80561d6-5e81-42bb-b404-ac659741b643,Lalit pancham,Teentaal,Khayal,2040046,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_026_Lalit_pancham.mid
Geetinandan : Part-3 by Ajoy Chakrabarty/Maru Bihag/Maru Bihag,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Geetinandan : Part-3 by Ajoy Chakrabarty/Maru Bihag/Maru Bihag.mp3.mp3,True,Maru Bihag,631bde83-42e4-4c04-b260-3dbbd5b03799,Marubihag,Ektaal,Khayal,961956,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_027_Marubihag.mid
Raag Marwa & Shree by Omkar Dadarkar/Raag Marwa/Raag Marwa,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Raag Marwa & Shree by Omkar Dadarkar/Raag Marwa/Raag Marwa.mp3.mp3,True,Raag Marwa,98afad39-5abc-4c96-b7af-5f2c70831066,Marwa,Teentaal,Khayal,1937815,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_028_Marwa.mid
Raag Bhairav & Dhani by Kumar Gandharva/Raag Dhani/Raag Dhani,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Raag Bhairav & Dhani by Kumar Gandharva/Raag Dhani/Raag Dhani.mp3.mp3,True,Raag Dhani,20aac96e-9e62-41e9-a3ce-5e6f2d7fff1a,Dhani,,Khayal,2048626,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_029_Dhani.mid
Geetinandan : Part-3 by Ajoy Chakrabarty/Raageshree/Raageshree,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Geetinandan : Part-3 by Ajoy Chakrabarty/Raageshree/Raageshree.mp3.mp3,True,Raageshree,7704b0d2-eeac-47e4-ba05-c541a91eb621,Rageshri,Jhoomra,Khayal,492315,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_030_Rageshri.mid
Raag Lalit & Bibhas by Omkar Dadarkar/Raag Lalit/Raag Lalit,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Raag Lalit & Bibhas by Omkar Dadarkar/Raag Lalit/Raag Lalit.mp3.mp3,True,Raag Lalit,8e815f51-194f-4e14-b1e3-5a214590d895,Lalat,Jhaptaal,Tarana,2445400,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_031_Lalat.mid
Anaahata by Milind Malshe/Raag Jait Kalyan/Raag Jait Kalyan,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Anaahata by Milind Malshe/Raag Jait Kalyan/Raag Jait Kalyan.mp3.mp3,True,Raag Jait Kalyan,9880433a-b5d3-4f5e-95a2-d7aa7bfee11f,Jait Kalyan,,,1468029,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_032_Jait_Kalyan.mid
Hindustani Alaps by Kaustuv Kanti Ganguli/Raag Lalit/Raag Lalit,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Hindustani Alaps by Kaustuv Kanti Ganguli/Raag Lalit/Raag Lalit.mp3.mp3,True,Raag Lalit,047abeeb-88f5-4395-8542-f7448668a281,Lalat,,Khayal,378102,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_033_Lalat.mid
Raag Lalit & Bibhas by Omkar Dadarkar/Raag Bibhas/Raag Bibhas,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Raag Lalit & Bibhas by Omkar Dadarkar/Raag Bibhas/Raag Bibhas.mp3.mp3,True,Raag Bibhas,d2b7d16c-d6c2-4ed0-9b63-312217b02a9e,Bibhas,Teentaal,Khayal,849554,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_034_Bibhas.mid
Hindustani Alaps by Kaustuv Kanti Ganguli/Raag Miyan Malhar/Raag Miyan Malhar,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Hindustani Alaps by Kaustuv Kanti Ganguli/Raag Miyan Malhar/Raag Miyan Malhar.mp3.mp3,True,Raag Miyan Malhar,001932a8-85a2-4f3f-9497-5e322c85abcd,Miya malhar,,Khayal,546723,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_035_Miya_malhar.mid
"Raag Bahar, Gaud Malhar & Yaman by Omkar Dadarkar/Raag Bahar/Raag Bahar","/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Raag Bahar, Gaud Malhar & Yaman by Omkar Dadarkar/Raag Bahar/Raag Bahar.mp3.mp3",True,Raag Bahar,c73c038c-df41-43f9-a272-916b1f2e1fc7,Bahar,Ektaal,Khayal,1670191,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_036_Bahar.mid
Anaahata by Milind Malshe/Raag Dagori_Deepki/Raag Dagori_Deepki,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Anaahata by Milind Malshe/Raag Dagori_Deepki/Raag Dagori_Deepki.mp3.mp3,True,Raag Dagori/Deepki,66084e18-2dec-44bf-8bcb-48bf040b9318,Dagori,,Khayal,639791,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_037_Dagori.mid
Raag Bhatiyar & Bhairavi Thumri by Kaustuv Kanti Ganguli/Bhairavi Thumri/Bhairavi Thumri,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Raag Bhatiyar & Bhairavi Thumri by Kaustuv Kanti Ganguli/Bhairavi Thumri/Bhairavi Thumri.mp3.mp3,True,Bhairavi Thumri,f0bc477f-03a7-44c5-8e63-cef7f8692c08,Bhairabi,Jatt,,718915,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_038_Bhairabi.mid
Hindustani Alaps by Kaustuv Kanti Ganguli/Raag Puriya Dhanashree/Raag Puriya Dhanashree,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Hindustani Alaps by Kaustuv Kanti Ganguli/Raag Puriya Dhanashree/Raag Puriya Dhanashree.mp3.mp3,True,Raag Puriya Dhanashree,15b6df7e-2b76-484d-9089-1619cc850b59,Puriya dhanashree,,Khayal,392435,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_039_Puriya_dhanashree.mid
"Raag Shree, Lalit Pancham & Bhairavi Thumri by Kaustuv Kanti Ganguli/Bhairavi Thumri/Bhairavi Thumri","/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Raag Shree, Lalit Pancham & Bhairavi Thumri by Kaustuv Kanti Ganguli/Bhairavi Thumri/Bhairavi Thumri.mp3.mp3",True,Bhairavi Thumri,1da7a284-99d3-46be-9537-13e2edf8d928,Bhairabi,Jatt,Thumri,1152719,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_040_Bhairabi.mid
Anaahata by Milind Malshe/Raag Komal Rishav Aasavari/Raag Komal Rishav Aasavari,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Anaahata by Milind Malshe/Raag Komal Rishav Aasavari/Raag Komal Rishav Aasavari.mp3.mp3,True,Raag Komal Rishav Aasavari,9a7e51fa-61fd-4e17-bc88-93df44ee3d0c,Komal rishabh asavari,,,1429159,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_041_Komal_rishabh_asavari.mid
Anaahata by Milind Malshe/Raag Sohani/Raag Sohani,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Anaahata by Milind Malshe/Raag Sohani/Raag Sohani.mp3.mp3,True,Raag Sohani,acae4dcf-e5e7-4c8f-b17c-bfec74cabcc1,Sohini,,,87614,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_042_Sohini.mid
"Raag Bahar, Gaud Malhar & Yaman by Omkar Dadarkar/Raag Yaman/Raag Yaman","/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Raag Bahar, Gaud Malhar & Yaman by Omkar Dadarkar/Raag Yaman/Raag Yaman.mp3.mp3",True,Raag Yaman,c76cadd9-9e7b-4e9e-96dc-f79a9a8eed78,Yaman kalyan,Teentaal,Khayal,1081678,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_043_Yaman_kalyan.mid
Anaahata by Milind Malshe/Raag Triveni/Raag Triveni,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Anaahata by Milind Malshe/Raag Triveni/Raag Triveni.mp3.mp3,True,Raag Triveni,aa3b2a92-21ee-44c6-ba84-c2d209db7fc8,Triveni gauri,,,1508675,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_044_Triveni_gauri.mid
Geetinandan : Part-3 by Ajoy Chakrabarty/Bilaskhani Todi/Bilaskhani Todi,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Geetinandan : Part-3 by Ajoy Chakrabarty/Bilaskhani Todi/Bilaskhani Todi.mp3.mp3,True,Bilaskhani Todi,3124479b-5118-4cf3-823f-8fefad45e586,Bilaskhani todi,Teentaal,Khayal,854500,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_045_Bilaskhani_todi.mid
Raag Jog & Kirwani Bhajan by Kaustuv Kanti Ganguli/Raag Jog/Raag Jog,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Raag Jog & Kirwani Bhajan by Kaustuv Kanti Ganguli/Raag Jog/Raag Jog.mp3.mp3,True,Raag Jog,99dcaebe-ab49-4fa3-ab6c-a9458143af8e,Jog,Ektaal,Khayal,2923664,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_046_Jog.mid
"Raag Malkauns, Chandrakauns & Majh Khamaj Thumri by Satyasheel Deshpande/Majh Khamaj Thumri/Majh Khamaj Thumri","/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Raag Malkauns, Chandrakauns & Majh Khamaj Thumri by Satyasheel Deshpande/Majh Khamaj Thumri/Majh Khamaj Thumri.mp3.mp3",True,Majh Khamaj Thumri,6bb27c39-a1d0-4775-8915-662044c43352,Maajh khamaj,,Thumri,323463,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_047_Maajh_khamaj.mid
Raag Kedar & Jog by Ajoy Chakrabarty/Raag Jog/Raag Jog,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Raag Kedar & Jog by Ajoy Chakrabarty/Raag Jog/Raag Jog.mp3.mp3,True,Raag Jog,566d6c64-ae66-45e7-9f91-e33cd6c0f18f,Jog,Ektaal,Khayal,3147329,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_048_Jog.mid
Raag Lagan Gandhar & Nirgun Bhajan by Kumar Gandharva/Nirgun Bhajan/Nirgun Bhajan,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Raag Lagan Gandhar & Nirgun Bhajan by Kumar Gandharva/Nirgun Bhajan/Nirgun Bhajan.mp3.mp3,True,Nirgun Bhajan,cf1b51f3-aa25-4fb2-bf63-f0271448abf0,Mishra kalingada,,,787000,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_049_Mishra_kalingada.mid
Anaahata by Milind Malshe/Raag Hindol Pancham/Raag Hindol Pancham,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Anaahata by Milind Malshe/Raag Hindol Pancham/Raag Hindol Pancham.mp3.mp3,True,Raag Hindol Pancham,44e9d183-06d3-41c7-81d2-4c874010f383,Hindol Pancham,,,727562,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_050_Hindol_Pancham.mid
Raag Marwa & Shree by Omkar Dadarkar/Raag Shree/Raag Shree,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Raag Marwa & Shree by Omkar Dadarkar/Raag Shree/Raag Shree.mp3.mp3,True,Raag Shree,f3313201-ab83-4633-b463-60b862ab1a21,Shree,Teentaal,Khayal,2250344,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_051_Shree.mid
Geetinandan : Part-3 by Ajoy Chakrabarty/Sudh Kalyan/Sudh Kalyan,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Geetinandan : Part-3 by Ajoy Chakrabarty/Sudh Kalyan/Sudh Kalyan.mp3.mp3,True,Sudh Kalyan,a6d77610-1084-4696-9734-79285672df16,Shuddha kalyan,Ektaal,Khayal,903653,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_052_Shuddha_kalyan.mid
