tradition,label,file,seq_len,n_pitch_tokens,n_velocity_tokens,n_duration_tokens,n_position_tokens,n_bar_tokens,unique_pitches,unique_token_ids
western_classical,Western Classical,2008_MIDI-Unprocessed_15_R1_2008_01-04_ORIG_MID--AUDIO_15_R1_2008_wav--2.midi,23887,6536,6536,6536,4038,241,64,172
western_classical,Western Classical,2008_MIDI-Unprocessed_15_R1_2008_01-04_ORIG_MID--AUDIO_15_R1_2008_wav--3.midi,14393,4055,4055,4055,2023,205,75,185
western_classical,Western Classical,2008_MIDI-Unprocessed_15_R2_2008_01-04_ORIG_MID--AUDIO_15_R2_2008_wav--3.midi,7888,2168,2168,2168,1283,101,67,165
western_classical,Western Classical,2009_MIDI-Unprocessed_01_R1_2009_01-04_ORIG_MID--AUDIO_01_R1_2009_01_R1_2009_02_WAV.midi,7810,2196,2196,2196,1154,68,50,130
western_classical,Western Classical,2009_MIDI-Unprocessed_04_R1_2009_01-03_ORIG_MID--AUDIO_04_R1_2009_04_R1_2009_02_WAV.midi,26094,6939,6939,6939,4909,368,67,178
western_classical,Western Classical,2009_MIDI-Unprocessed_05_R1_2009_03-05_ORIG_MID--AUDIO_05_R1_2009_05_R1_2009_03_WAV.midi,50661,13584,13584,13584,8962,947,71,198
western_classical,Western Classical,2009_MIDI-Unprocessed_06_R1_2009_03-07_ORIG_MID--AUDIO_06_R1_2009_06_R1_2009_03_WAV.midi,3841,994,994,994,794,65,47,115
western_classical,Western Classical,2009_MIDI-Unprocessed_07_R2_2009_01_ORIG_MID--AUDIO_07_R2_2009_07_R2_2009_02_WAV.midi,9934,2777,2777,2777,1369,234,61,169
western_classical,Western Classical,2009_MIDI-Unprocessed_07_R2_2009_01_ORIG_MID--AUDIO_07_R2_2009_07_R2_2009_04_WAV.midi,26311,7295,7295,7295,4166,260,72,161
western_classical,Western Classical,2009_MIDI-Unprocessed_09_R1_2009_01-04_ORIG_MID--AUDIO_09_R1_2009_09_R1_2009_04_WAV.midi,27985,7910,7910,7910,3901,354,84,198
western_classical,Western Classical,2009_MIDI-Unprocessed_09_R2_2009_01_ORIG_MID--AUDIO_09_R2_2009_09_R2_2009_01_WAV.midi,14958,4172,4172,4172,2210,232,69,166
western_classical,Western Classical,2009_MIDI-Unprocessed_12_R1_2009_01-02_ORIG_MID--AUDIO_12_R1_2009_12_R1_2009_01_WAV.midi,23899,6309,6309,6309,4546,426,49,170
western_classical,Western Classical,2009_MIDI-Unprocessed_12_R1_2009_03-05_ORIG_MID--AUDIO_12_R1_2009_12_R1_2009_03_WAV.midi,24980,6737,6737,6737,4326,443,63,180
western_classical,Western Classical,2009_MIDI-Unprocessed_12_R2_2009_01_ORIG_MID--AUDIO_12_R2_2009_12_R2_2009_01_WAV.midi,17710,4878,4878,4878,2831,245,70,167
western_classical,Western Classical,2009_MIDI-Unprocessed_14_R1_2009_01-05_ORIG_MID--AUDIO_14_R1_2009_14_R1_2009_05_WAV.midi,5638,1469,1469,1469,1159,72,38,106
western_classical,Western Classical,2009_MIDI-Unprocessed_17_R2_2009_01_ORIG_MID--AUDIO_17_R2_2009_17_R2_2009_02_WAV.midi,10128,2830,2830,2830,1395,243,63,175
western_classical,Western Classical,2009_MIDI-Unprocessed_21_R1_2009_01-03_ORIG_MID--AUDIO_21_R1_2009_21_R1_2009_03_WAV.midi,35693,9909,9909,9909,5569,397,78,185
western_classical,Western Classical,2009_MIDI-Unprocessed_21_R2_2009_01_ORIG_MID--AUDIO_21_R2_2009_21_R2_2009_01_WAV.midi,28811,7899,7899,7899,4663,451,70,181
western_classical,Western Classical,2011_MIDI-Unprocessed_02_R1_2011_MID--AUDIO_R1-D1_09_Track09_wav.midi,7624,2012,2012,2012,1496,92,49,132
western_classical,Western Classical,2011_MIDI-Unprocessed_04_R1_2011_MID--AUDIO_R1-D2_06_Track06_wav.midi,21531,5849,5849,5849,3755,229,74,165
western_classical,Western Classical,2011_MIDI-Unprocessed_04_R2_2011_MID--AUDIO_R2-D2_03_Track03_wav.midi,18292,5031,5031,5031,2931,268,75,178
western_classical,Western Classical,2011_MIDI-Unprocessed_04_R3_2011_MID--AUDIO_R3-D2_04_Track04_wav.midi,26945,7518,7518,7518,4062,329,73,186
western_classical,Western Classical,2011_MIDI-Unprocessed_05_R1_2011_MID--AUDIO_R1-D2_09_Track09_wav.midi,5042,1353,1353,1353,888,95,45,138
western_classical,Western Classical,2011_MIDI-Unprocessed_06_R2_2011_MID--AUDIO_R2-D2_07_Track07_wav.midi,15627,4395,4395,4395,2334,108,72,146
western_classical,Western Classical,2011_MIDI-Unprocessed_09_R1_2011_MID--AUDIO_R1-D3_14_Track14_wav.midi,10056,2792,2792,2792,1612,68,69,148
western_classical,Western Classical,2011_MIDI-Unprocessed_09_R2_2011_MID--AUDIO_R2-D3_04_Track04_wav.midi,10134,2587,2587,2587,2216,157,50,159
western_classical,Western Classical,2011_MIDI-Unprocessed_10_R2_2011_MID--AUDIO_R2-D3_10_Track10_wav.midi,23370,6377,6377,6377,3892,347,72,182
western_classical,Western Classical,2011_MIDI-Unprocessed_11_R1_2011_MID--AUDIO_R1-D4_08_Track08_wav.midi,24155,6626,6626,6626,4017,260,64,176
western_classical,Western Classical,2011_MIDI-Unprocessed_12_R2_2011_MID--AUDIO_R2-D4_05_Track05_wav.midi,7322,2110,2110,2110,913,79,71,146
western_classical,Western Classical,2011_MIDI-Unprocessed_14_R1_2011_MID--AUDIO_R1-D6_03_Track03_wav.midi,10617,2846,2846,2846,1880,199,68,174
western_classical,Western Classical,2011_MIDI-Unprocessed_17_R1_2011_MID--AUDIO_R1-D7_02_Track02_wav.midi,7579,2053,2053,2053,1341,79,45,109
western_classical,Western Classical,2011_MIDI-Unprocessed_17_R1_2011_MID--AUDIO_R1-D7_04_Track04_wav.midi,12006,3255,3255,3255,2144,97,76,168
western_classical,Western Classical,2011_MIDI-Unprocessed_17_R2_2011_MID--AUDIO_R2-D5_04_Track04_wav.midi,13986,3844,3844,3844,2255,199,72,176
western_classical,Western Classical,2011_MIDI-Unprocessed_18_R1_2011_MID--AUDIO_R1-D7_08_Track08_wav.midi,24018,6591,6591,6591,4000,245,65,169
western_classical,Western Classical,2011_MIDI-Unprocessed_20_R1_2011_MID--AUDIO_R1-D8_02_Track02_wav.midi,8150,2200,2200,2200,1398,152,46,162
western_classical,Western Classical,2011_MIDI-Unprocessed_20_R1_2011_MID--AUDIO_R1-D8_04_Track04_wav.midi,23656,6365,6365,6365,4276,285,68,174
western_classical,Western Classical,2011_MIDI-Unprocessed_21_R1_2011_MID--AUDIO_R1-D8_07_Track07_wav.midi,5095,1354,1354,1354,916,117,45,138
western_classical,Western Classical,2011_MIDI-Unprocessed_25_R1_2011_MID--AUDIO_R1-D9_14_Track14_wav.midi,11210,3069,3069,3069,1852,151,48,149
western_classical,Western Classical,2013_ORIG-MIDI_01_7_10_13_Group_MID--AUDIO_07_R3_2013_wav--2.midi,27294,7424,7424,7424,4621,401,68,171
western_classical,Western Classical,2013_ORIG-MIDI_01_7_6_13_Group__MID--AUDIO_03_R1_2013_wav--3.midi,8668,2473,2473,2473,1191,58,68,153
western_classical,Western Classical,2013_ORIG-MIDI_01_7_7_13_Group__MID--AUDIO_14_R1_2013_wav--3.midi,8171,2254,2254,2254,1354,55,68,146
western_classical,Western Classical,2013_ORIG-MIDI_02_7_6_13_Group__MID--AUDIO_05_R1_2013_wav--1.midi,9089,2438,2438,2438,1601,174,44,145
western_classical,Western Classical,2013_ORIG-MIDI_02_7_6_13_Group__MID--AUDIO_06_R1_2013_wav--1.midi,12905,3520,3520,3520,2203,142,63,153
western_classical,Western Classical,2013_ORIG-MIDI_02_7_6_13_Group__MID--AUDIO_06_R1_2013_wav--3.midi,5003,1391,1391,1391,795,35,60,133
western_classical,Western Classical,2013_ORIG-MIDI_02_7_7_13_Group__MID--AUDIO_15_R1_2013_wav--2.midi,12304,3314,3314,3314,2195,167,61,150
western_classical,Western Classical,2013_ORIG-MIDI_02_7_7_13_Group__MID--AUDIO_17_R1_2013_wav--1.midi,4466,1191,1191,1191,823,70,44,136
western_classical,Western Classical,2013_ORIG-MIDI_02_7_7_13_Group__MID--AUDIO_18_R1_2013_wav--3.midi,7784,2037,2037,2037,1542,131,50,137
western_classical,Western Classical,2013_ORIG-MIDI_02_7_8_13_Group__MID--AUDIO_12_R2_2013_wav--2.midi,13818,3740,3740,3740,2370,228,73,182
western_classical,Western Classical,2013_ORIG-MIDI_03_7_10_13_Group_MID--AUDIO_17_R3_2013_wav--2.midi,27224,7576,7576,7576,4176,320,74,178
western_classical,Western Classical,2013_ORIG-MIDI_03_7_6_13_Group__MID--AUDIO_10_R1_2013_wav--3.midi,7834,2110,2110,2110,1436,68,56,131
western_classical,Western Classical,2013_ORIG-MIDI_03_7_8_13_Group__MID--AUDIO_17_R2_2013_wav--2.midi,10301,2606,2606,2606,2305,178,49,146
western_classical,Western Classical,2013_ORIG-MIDI_03_7_8_13_Group__MID--AUDIO_17_R2_2013_wav--3.midi,42701,12180,12180,12180,5789,372,80,179
western_classical,Western Classical,2013_ORIG-MIDI_03_7_8_13_Group__MID--AUDIO_19_R2_2013_wav--3.midi,18985,5362,5362,5362,2618,281,72,180
western_classical,Western Classical,2014_MIDI-UNPROCESSED_04-07-08-10-12-15-17_R2_2014_MID--AUDIO_04_R2_2014_wav.midi,68982,18876,18876,18876,11247,1107,73,191
western_classical,Western Classical,2014_MIDI-UNPROCESSED_04-07-08-10-12-15-17_R2_2014_MID--AUDIO_07_R2_2014_wav.midi,66817,18525,18525,18525,10346,896,73,190
western_classical,Western Classical,2014_MIDI-UNPROCESSED_04-07-08-10-12-15-17_R2_2014_MID--AUDIO_15_R2_2014_wav.midi,67719,19014,19014,19014,9835,842,73,180
western_classical,Western Classical,2014_MIDI-UNPROCESSED_04-07-08-10-12-15-17_R2_2014_MID--AUDIO_17_R2_2014_wav.midi,67118,18243,18243,18243,11285,1104,72,187
western_classical,Western Classical,2014_MIDI-UNPROCESSED_06-08_R1_2014_MID--AUDIO_07_R1_2014_wav--6.midi,17249,4678,4678,4678,3033,182,79,177
western_classical,Western Classical,2014_MIDI-UNPROCESSED_09-10_R1_2014_MID--AUDIO_09_R1_2014_wav--2.midi,44568,12603,12603,12603,6248,511,83,202
western_classical,Western Classical,2014_MIDI-UNPROCESSED_09-10_R1_2014_MID--AUDIO_10_R1_2014_wav--1.midi,3241,877,877,877,571,39,46,116
western_classical,Western Classical,2014_MIDI-UNPROCESSED_09-10_R1_2014_MID--AUDIO_10_R1_2014_wav--5.midi,26518,7458,7458,7458,3840,304,81,185
western_classical,Western Classical,2014_MIDI-UNPROCESSED_11-13_R1_2014_MID--AUDIO_13_R1_2014_wav--2.midi,5756,1596,1596,1596,883,85,41,119
western_classical,Western Classical,2014_MIDI-UNPROCESSED_14-15_R1_2014_MID--AUDIO_14_R1_2014_wav--1.midi,23817,6163,6163,6163,4852,476,55,177
western_classical,Western Classical,2014_MIDI-UNPROCESSED_14-15_R1_2014_MID--AUDIO_15_R1_2014_wav--5.midi,22305,6321,6321,6321,3101,241,74,179
western_classical,Western Classical,2014_MIDI-UNPROCESSED_21-22_R1_2014_MID--AUDIO_21_R1_2014_wav--4.midi,36403,10366,10366,10366,4963,342,85,194
western_classical,Western Classical,2015_MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_02_R1_2015_wav--3.midi,17226,4788,4788,4788,2620,242,74,172
western_classical,Western Classical,2015_MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_02_R1_2015_wav--5.midi,3759,1026,1026,1026,605,76,63,153
western_classical,Western Classical,2015_MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_02_R1_2015_wav--6.midi,15030,4139,4139,4139,2474,139,76,160
western_classical,Western Classical,2015_MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_15_R1_2015_wav--3.midi,13012,3499,3499,3499,2352,163,60,151
western_classical,Western Classical,2015_MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_15_R1_2015_wav--5.midi,21836,5938,5938,5938,3690,332,78,185
western_classical,Western Classical,2015_MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_16_R1_2015_wav--4.midi,22118,6111,6111,6111,3518,267,78,184
western_classical,Western Classical,2015_MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_17_R1_2015_wav--1.midi,7080,1883,1883,1883,1315,116,47,148
western_classical,Western Classical,2015_MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_17_R1_2015_wav--2.midi,14565,4020,4020,4020,2335,170,60,159
western_classical,Western Classical,2015_MIDI-Unprocessed_R1_D2-21-22_mid--AUDIO-from_mp3_21_R1_2015_wav--2.midi,12986,3494,3494,3494,2346,158,60,149
western_classical,Western Classical,2015_MIDI-Unprocessed_R1_D2-21-22_mid--AUDIO-from_mp3_21_R1_2015_wav--5.midi,18126,5146,5146,5146,2502,186,79,169
western_classical,Western Classical,2015_MIDI-Unprocessed_R1_D2-21-22_mid--AUDIO-from_mp3_22_R1_2015_wav--5.midi,15649,4412,4412,4412,2245,168,75,167
western_classical,Western Classical,2015_MIDI-Unprocessed_R2_D2-12-13-15_mid--AUDIO-from_mp3_13_R2_2015_wav--3.midi,10079,2576,2576,2576,2202,149,49,151
western_classical,Western Classical,2015_MIDI-Unprocessed_R2_D2-19-21-22_mid--AUDIO-from_mp3_21_R2_2015_wav--2.midi,26506,7233,7233,7233,4470,337,68,168
western_classical,Western Classical,2015_MIDI-Unprocessed_R2_D2-19-21-22_mid--AUDIO-from_mp3_22_R2_2015_wav--3.midi,21974,6012,6012,6012,3648,290,78,184
western_classical,Western Classical,2015_MIDI-Unprocessed_R2_D2-19-21-22_mid--AUDIO-from_mp3_22_R2_2015_wav--4.midi,35151,9731,9731,9731,5549,409,78,185
western_classical,Western Classical,2017_MIDI-Unprocessed_049_PIANO049_MID--AUDIO-split_07-06-17_Piano-e_2-06_wav--1.midi,8426,2239,2239,2239,1595,114,46,125
western_classical,Western Classical,2017_MIDI-Unprocessed_049_PIANO049_MID--AUDIO-split_07-06-17_Piano-e_2-06_wav--3.midi,8102,2230,2230,2230,1355,57,67,143
western_classical,Western Classical,2017_MIDI-Unprocessed_050_PIANO050_MID--AUDIO-split_07-06-17_Piano-e_3-01_wav--4.midi,15369,4339,4339,4339,2122,230,75,185
western_classical,Western Classical,2017_MIDI-Unprocessed_051_PIANO051_MID--AUDIO-split_07-06-17_Piano-e_3-02_wav--1.midi,4421,1182,1182,1182,800,75,44,139
western_classical,Western Classical,2017_MIDI-Unprocessed_051_PIANO051_MID--AUDIO-split_07-06-17_Piano-e_3-02_wav--3.midi,12013,3214,3214,3214,2261,110,76,167
western_classical,Western Classical,2017_MIDI-Unprocessed_054_PIANO054_MID--AUDIO-split_07-07-17_Piano-e_1-02_wav--2.midi,12289,3321,3321,3321,2156,170,61,153
western_classical,Western Classical,2017_MIDI-Unprocessed_054_PIANO054_MID--AUDIO-split_07-07-17_Piano-e_1-02_wav--3.midi,15211,4187,4187,4187,2518,132,75,149
western_classical,Western Classical,2017_MIDI-Unprocessed_059_PIANO059_MID--AUDIO-split_07-07-17_Piano-e_2-03_wav--1.midi,8419,2242,2242,2242,1597,96,45,116
western_classical,Western Classical,2017_MIDI-Unprocessed_060_PIANO060_MID--AUDIO-split_07-07-17_Piano-e_2-04_wav--4.midi,14567,4000,4000,4000,2404,163,60,153
western_classical,Western Classical,2017_MIDI-Unprocessed_066_PIANO066_MID--AUDIO-split_07-07-17_Piano-e_3-02_wav--3.midi,12193,3326,3326,3326,1985,230,72,178
western_classical,Western Classical,2017_MIDI-Unprocessed_066_PIANO066_MID--AUDIO-split_07-07-17_Piano-e_3-02_wav--4.midi,15075,4154,4154,4154,2471,142,76,150
western_classical,Western Classical,2017_MIDI-Unprocessed_070_PIANO070_MID--AUDIO-split_07-08-17_Piano-e_1-02_wav--3.midi,27204,7591,7591,7591,4071,360,73,194
western_classical,Western Classical,2017_MIDI-Unprocessed_071_PIANO071_MID--AUDIO-split_07-08-17_Piano-e_1-04_wav--1.midi,26294,7177,7177,7177,4460,303,68,161
western_classical,Western Classical,2017_MIDI-Unprocessed_071_PIANO071_MID--AUDIO-split_07-08-17_Piano-e_1-04_wav--3.midi,34206,9398,9398,9398,5598,414,79,186
western_classical,Western Classical,2017_MIDI-Unprocessed_072_PIANO072_MID--AUDIO-split_07-08-17_Piano-e_1-06_wav--4.midi,27222,7650,7650,7650,3997,275,81,180
western_classical,Western Classical,2017_MIDI-Unprocessed_074_PIANO074_MID--AUDIO-split_07-08-17_Piano-e_2-04_wav--3.midi,25160,6943,6943,6943,3840,491,75,193
western_classical,Western Classical,2017_MIDI-Unprocessed_078_PIANO078_MID--AUDIO-split_07-09-17_Piano-e_1-02_wav--1.midi,26366,7221,7221,7221,4403,300,68,166
western_classical,Western Classical,2018_MIDI-Unprocessed_Chamber3_MID--AUDIO_10_R3_2018_wav--1.midi,15400,4197,4197,4197,2467,342,72,188
western_classical,Western Classical,2018_MIDI-Unprocessed_Recital1-3_MID--AUDIO_01_R1_2018_wav--1.midi,11338,3012,3012,3012,2138,164,49,144
western_classical,Western Classical,2018_MIDI-Unprocessed_Recital1-3_MID--AUDIO_01_R1_2018_wav--2.midi,15565,4203,4203,4203,2642,314,75,184
western_classical,Western Classical,2018_MIDI-Unprocessed_Recital12_MID--AUDIO_12_R1_2018_wav--3.midi,22049,5722,5722,5722,4563,320,73,178
western_classical,Western Classical,2018_MIDI-Unprocessed_Recital13-15_MID--AUDIO_13_R1_2018_wav--3.midi,49127,13062,13062,13062,9123,818,78,201
western_classical,Western Classical,2018_MIDI-Unprocessed_Recital13-15_MID--AUDIO_15_R1_2018_wav--3.midi,48328,12957,12957,12957,8662,795,73,184
western_classical,Western Classical,2018_MIDI-Unprocessed_Recital17-19_MID--AUDIO_18_R1_2018_wav--1.midi,52766,14347,14347,14347,9071,654,64,179
western_classical,Western Classical,2018_MIDI-Unprocessed_Recital8_MID--AUDIO_08_R1_2018_wav--4.midi,57849,16221,16221,16221,8234,952,81,206
western_classical,Western Classical,2018_MIDI-Unprocessed_Recital9-11_MID--AUDIO_09_R1_2018_wav--6.midi,11359,3085,3085,3085,2007,97,49,123
western_classical,Western Classical,2018_MIDI-Unprocessed_Recital9-11_MID--AUDIO_11_R1_2018_wav--2.midi,34536,9525,9525,9525,5363,598,72,188
western_classical,Western Classical,2018_MIDI-Unprocessed_Schubert4-6_MID--AUDIO_10_R2_2018_wav.midi,78372,21420,21420,21420,12901,1211,72,185
hindustani,Hindustani,hindustani_000_Gawti.mid,32792,8395,8395,8395,6789,818,46,154
hindustani,Hindustani,hindustani_001_Abhogi.mid,47255,12376,12376,12376,9192,935,50,156
hindustani,Hindustani,hindustani_002_Mishra_piloo.mid,13427,3359,3359,3359,2970,380,50,135
hindustani,Hindustani,hindustani_003_Bairagi.mid,17741,4479,4479,4479,3857,447,43,139
hindustani,Hindustani,hindustani_004_Nat_bhairav.mid,13408,3401,3401,3401,2888,317,40,133
hindustani,Hindustani,hindustani_005_Des.mid,8520,2172,2172,2172,1812,192,49,155
hindustani,Hindustani,hindustani_006_Bhatiyar.mid,63003,16529,16529,16529,12284,1132,48,146
hindustani,Hindustani,hindustani_007_Khat.mid,24680,6204,6204,6204,5435,633,44,130
hindustani,Hindustani,hindustani_008_Marwa.mid,4185,1015,1015,1015,945,195,34,141
hindustani,Hindustani,hindustani_009_Bhoop.mid,67183,17214,17214,17214,13879,1662,46,162
hindustani,Hindustani,hindustani_010_Kedar.mid,45502,11481,11481,11481,9704,1355,52,144
hindustani,Hindustani,hindustani_011_Bhairav.mid,25538,6365,6365,6365,5719,724,36,128
hindustani,Hindustani,hindustani_012_Todi.mid,11206,2853,2853,2853,2378,269,38,134
