path,duration_s,note_count,note_density,pitch_min,pitch_max,pitch_range,avg_pitch,avg_velocity,avg_note_dur_s,pc_entropy,n_instruments,filename,tradition
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_017_Kirwani.mid,599.55,2802,4.673,38,92,54,61.5,55.8,0.255,2.9077,1,hindustani_017_Kirwani.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_018_Ramdasi_malhar.mid,660.01,3045,4.614,30,87,57,50.4,56.2,0.349,2.5912,1,hindustani_018_Ramdasi_malhar.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_019_Megh.mid,1754.97,9099,5.185,38,92,54,57.4,60.0,0.288,2.7776,1,hindustani_019_Megh.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_020_Chandrakauns.mid,233.99,1203,5.141,37,89,52,56.7,59.0,0.266,2.8693,1,hindustani_020_Chandrakauns.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_021_Khokar.mid,819.29,3668,4.477,31,91,60,55.0,53.2,0.302,2.5031,1,hindustani_021_Khokar.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_022_Madhukauns.mid,561.58,1336,2.379,28,93,65,55.8,74.9,0.453,2.9087,1,hindustani_022_Madhukauns.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_023_Jogia.mid,412.48,2155,5.225,37,94,57,60.2,50.8,0.292,2.765,1,hindustani_023_Jogia.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_024_Bhairabi.mid,597.45,3164,5.296,39,94,55,55.9,61.9,0.284,2.8503,1,hindustani_024_Bhairabi.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_025_Nat_Kamod.mid,542.87,2508,4.62,39,91,52,54.1,53.4,0.261,2.2342,1,hindustani_025_Nat_Kamod.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_026_Lalit_pancham.mid,2026.36,10753,5.307,28,94,66,56.9,54.3,0.316,2.6981,1,hindustani_026_Lalit_pancham.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_027_Marubihag.mid,954.6,4721,4.946,37,89,52,54.1,61.0,0.349,2.7451,1,hindustani_027_Marubihag.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_028_Marwa.mid,1924.6,2748,1.428,33,95,62,54.3,58.2,0.326,3.1794,1,hindustani_028_Marwa.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_029_Dhani.mid,2034.64,10656,5.237,31,102,71,55.9,57.0,0.258,2.4692,1,hindustani_029_Dhani.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_030_Rageshri.mid,488.5,2584,5.29,37,90,53,52.2,59.9,0.373,2.7636,1,hindustani_030_Rageshri.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_031_Lalat.mid,2428.68,10862,4.472,32,99,67,56.4,67.2,0.309,2.9304,1,hindustani_031_Lalat.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_032_Jait_Kalyan.mid,1458.14,7738,5.307,38,101,63,54.9,61.0,0.316,2.3099,1,hindustani_032_Jait_Kalyan.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_033_Lalat.mid,375.53,1057,2.815,26,91,65,55.4,60.4,0.794,2.9728,1,hindustani_033_Lalat.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_034_Bibhas.mid,843.81,3447,4.085,39,91,52,56.3,62.0,0.277,2.8642,1,hindustani_034_Bibhas.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_035_Miya_malhar.mid,543.02,1515,2.79,28,101,73,56.1,59.6,0.822,2.9529,1,hindustani_035_Miya_malhar.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_036_Bahar.mid,1658.71,7826,4.718,39,92,53,58.1,61.1,0.301,2.9018,1,hindustani_036_Bahar.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_037_Dagori.mid,635.45,3048,4.797,37,92,55,60.6,51.4,0.305,2.4243,1,hindustani_037_Dagori.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_038_Bhairabi.mid,714.03,5346,7.487,29,88,59,57.8,58.7,0.306,2.8152,1,hindustani_038_Bhairabi.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_039_Puriya_dhanashree.mid,389.79,2114,5.423,26,99,73,61.6,54.5,0.487,2.6124,1,hindustani_039_Puriya_dhanashree.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_040_Bhairabi.mid,1144.97,6176,5.394,27,94,67,59.2,53.8,0.283,2.9861,1,hindustani_040_Bhairabi.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_041_Komal_rishabh_asavari.mid,1419.53,6537,4.605,38,96,58,56.4,63.2,0.314,3.0142,1,hindustani_041_Komal_rishabh_asavari.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_042_Sohini.mid,85.85,462,5.381,39,87,48,58.0,51.7,0.259,2.2427,1,hindustani_042_Sohini.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_043_Yaman_kalyan.mid,1074.37,2455,2.285,38,79,41,53.7,58.5,0.296,2.8625,1,hindustani_043_Yaman_kalyan.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_044_Triveni_gauri.mid,1497.91,3654,2.439,40,92,52,59.8,52.6,0.251,2.4004,1,hindustani_044_Triveni_gauri.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_045_Bilaskhani_todi.mid,847.96,4515,5.325,37,93,56,52.9,60.5,0.306,2.8913,1,hindustani_045_Bilaskhani_todi.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_046_Jog.mid,2904.06,10994,3.786,38,93,55,57.8,54.8,0.292,2.5238,1,hindustani_046_Jog.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_047_Maajh_khamaj.mid,316.91,1826,5.762,37,89,52,59.0,60.9,0.256,2.7698,1,hindustani_047_Maajh_khamaj.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_048_Jog.mid,3125.92,9315,2.98,37,90,53,53.4,57.8,0.337,2.6633,1,hindustani_048_Jog.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_049_Mishra_kalingada.mid,782.5,2143,2.739,30,90,60,55.6,57.9,0.251,2.5806,1,hindustani_049_Mishra_kalingada.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_050_Hindol_Pancham.mid,722.64,3538,4.896,42,89,47,55.6,62.0,0.253,2.7147,1,hindustani_050_Hindol_Pancham.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_051_Shree.mid,2235.2,3068,1.373,29,95,66,55.7,58.5,0.296,3.0008,1,hindustani_051_Shree.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_052_Shuddha_kalyan.mid,896.74,4754,5.301,37,93,56,53.8,60.1,0.338,2.6456,1,hindustani_052_Shuddha_kalyan.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_053_Bhimpalas.mid,1607.06,8477,5.275,27,99,72,54.2,61.8,0.304,2.9347,1,hindustani_053_Bhimpalas.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_054_Khamaj.mid,1157.74,10059,8.688,31,93,62,57.6,57.2,0.291,2.9996,1,hindustani_054_Khamaj.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_055_Todi.mid,4237.05,16821,3.97,31,101,70,55.9,66.8,0.314,2.4725,1,hindustani_055_Todi.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_056_Shree.mid,3942.79,22712,5.76,31,96,65,54.9,57.7,0.305,2.6325,1,hindustani_056_Shree.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_057_Lagan_Gandhar.mid,2933.87,10780,3.674,31,101,70,56.0,58.1,0.293,2.405,1,hindustani_057_Lagan_Gandhar.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_058_Kalavati.mid,341.24,2056,6.025,37,92,55,55.9,57.3,0.296,2.6241,1,hindustani_058_Kalavati.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_059_Malkauns.mid,330.55,1724,5.216,37,86,49,53.4,57.5,0.33,2.6804,1,hindustani_059_Malkauns.mid,hindustani
